"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"67210";"https://dadosabertos.camara.leg.br/api/v2/eventos/67210";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2241551";"2023-03-09T09:00:00";"2023-03-09T15:05:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67187";"https://dadosabertos.camara.leg.br/api/v2/eventos/67187";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239590";"2023-03-08T15:16:24";"2023-03-08T19:03:55";"Encerrada";"A - Apresentação das propostas de reforma tributária (PEC 45 e PEC 110/19)

BALEIA ROSSI, Deputado Federal e Autor da PEC 45/2019;

DAVI ALCOLUMBRE, Senador e Autor da PEC 110/2019;

ROBERTO ROCHA, Senador na 55ª e na 56ª Legislaturas e Relator da PEC 110/2019 na Comissão de Constituição e Justiça - CCJ do Senado Federal;

BERNARD APPY, Secretário Extraordinário da Reforma Tributária no Ministério da Fazenda.

B - Deliberação de Requerimentos (estão sujeitos a pauta os Requerimentos apresentados até 24h antes do horário da reunião)";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
"67207";"https://dadosabertos.camara.leg.br/api/v2/eventos/67207";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240650";"2023-03-08T14:29:54";"2023-03-09T12:25:50";"Encerrada";"TESTE - Reunião de Eleição CCTI";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 13";"";"";""
"67208";"https://dadosabertos.camara.leg.br/api/v2/eventos/67208";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240692";"2023-03-08T14:00:00";"2023-03-08T15:56:26";"Encerrada";"Teste";"Audiência Pública";"";"Anexo II, Plenário 06";"";"";""
"67204";"https://dadosabertos.camara.leg.br/api/v2/eventos/67204";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2241098";"2023-03-08T13:58:00";"2023-03-08T21:35:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240661";"2023-03-08T10:33:00";"2023-03-08T13:53:00";"Encerrada";"Homenagem ao Dia Internacional da Mulher";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67196";"https://dadosabertos.camara.leg.br/api/v2/eventos/67196";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240012";"2023-03-08T10:00:00";"2023-03-08T11:45:00";"Encerrada";"Reunião administrativa restrita aos membros do Grupo de Trabalho.";"Reunião Técnica";"";"Anexo II, Sala 175B Piso Superior";"";"";""
"67155";"https://dadosabertos.camara.leg.br/api/v2/eventos/67155";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238579";"2023-03-07T17:23:01";"2023-03-07T17:23:05";"Encerrada";"Teste de Eleição - CREDN";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 03";"";"";""
"67203";"https://dadosabertos.camara.leg.br/api/v2/eventos/67203";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240263";"2023-03-07T15:48:29";"2023-03-07T16:06:56";"Encerrada";"treinamento de eleição da CDHMIR";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67198";"https://dadosabertos.camara.leg.br/api/v2/eventos/67198";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240149";"2023-03-07T15:10:02";"2023-03-07T15:45:38";"Encerrada (Final)";"Treinamento de eleição da CDHMIR";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67186";"https://dadosabertos.camara.leg.br/api/v2/eventos/67186";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239536";"2023-03-07T15:03:31";"2023-03-07T16:17:32";"Encerrada";"A - Deliberação de Requerimentos (estão sujeitos a pauta os Requerimentos apresentados até 24h antes do horário da reunião):";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
"67177";"https://dadosabertos.camara.leg.br/api/v2/eventos/67177";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238960";"2023-03-07T14:33:40";"2023-03-07T18:25:53";"Encerrada (Final)";"A- Audiência pública
Convidados:
JUNIOR DIVINO FIDELES, Advogado-Geral da União Adjunto; (Confirmado) 
RUI COSTA, Ministro Chefe da Casa Civil da Presidência da República;
ALEXANDRE SILVEIRA, Ministro de Minas e Energia;
LUIZ FERNANDO BANDEIRA DE MELO, Conselheiro do Conselho Nacional de Justiça;(Confirmado)
JARBAS SOARES JUNIOR, Procurador-Geral de Justiça do Estado de Minas Gerais;
JASSON HIBNER AMARAL, Procurador-Geral de Justiça do Estado do Espírito Santo;
CARLOS BRUNO FERREIRA DA SILVA, Procurador da República, Coordenador da Força-Tarefa do Rio Doce e Brumadinho; (Confirmado)
LUIZ OTÁTVIO MILAGRES DE ASSIS, Secretário-adjunto da Secretaria de Estado de Planejamento e Gestão  do Governo de Minas Gerais;
RICARDO LANOTTI DA ROCHA, Subsecretário da Casa Civil para Assuntos Administrativos do Estado do Espírito Santo;
JOCELI ANDREOLI, Coordenação Nacional do Movimento dos Atingidos por Barragens (MAB);(Confirmado)
RODRIGO PIRES, Cáritas Regional Minas Gerais, Coordenador do projeto de assessoria técnica indepedente ao atingidos e atingidos pelo crime da Samarco;(Confirmado)
MONICA SANTOS, Comissão de Atingidos de Mariana, ex moradora de Bento Rodrigues;(Confirmado)
JOELMA FERNANDES TEIXEIRA, Comissão de Atingidos da Ilha Brava e a Coordenação das Comissões de Governador Valadares;(Confirmado)
ÂNGELO ANTONIO LOPES ELEUTÉRIO, Comissão dos Trabalhadores atingidos pela barragem do Fundão;(Confirmado)
ROMEU ARLINDO DOS ANJOS, Comissão dos Trabalhadores atingidos pela barragem do Fundão;(Confirmado)
MARINO D'ANGELO,  Comissão de Atingidos da Zona Rural de Mariana. (Confirmado)

(Requerimento n. 01/2023, do Dep. Rogério Correia)

B- Deliberaçao de requerimentos";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"67200";"https://dadosabertos.camara.leg.br/api/v2/eventos/67200";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240170";"2023-03-07T14:25:37";"2023-03-07T14:50:22";"Encerrada";"Reunião de Instalação e Eleição - CLP";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 03";"";"";""
"67185";"https://dadosabertos.camara.leg.br/api/v2/eventos/67185";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240508";"2023-03-07T13:55:00";"2023-03-07T20:43:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67151";"https://dadosabertos.camara.leg.br/api/v2/eventos/67151";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240080";"2023-03-07T13:00:00";"";"Cancelada";"Teste de Eleição da CDE - Comissão de Desenvolvimento Econômico";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 05";"";"";""
"67195";"https://dadosabertos.camara.leg.br/api/v2/eventos/67195";"";"2023-03-07T11:33:12";"2023-03-07T13:29:53";"Encerrada";"Teste de Eleição - CMULHER";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 14";"";"";""
"67158";"https://dadosabertos.camara.leg.br/api/v2/eventos/67158";"";"2023-03-07T10:53:12";"2023-03-07T11:23:45";"Encerrada";"Teste de Eleição - CMULHER";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 14";"";"";""
"67184";"https://dadosabertos.camara.leg.br/api/v2/eventos/67184";"";"2023-03-07T10:17:00";"2023-03-07T12:35:00";"Encerrada";"Homenagem aos 56 anos da Zona Franca de Manaus e da Superintendência da Zona Franca de Manaus - Suframa";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67188";"https://dadosabertos.camara.leg.br/api/v2/eventos/67188";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239559";"2023-03-07T10:00:00";"2023-03-07T11:05:00";"Encerrada";"Reunião administrativa restrita aos membros do Grupo de Trabalho";"Reunião Técnica";"";"Anexo II, Sala 175B Piso Superior";"";"";""
"67182";"https://dadosabertos.camara.leg.br/api/v2/eventos/67182";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239635";"2023-03-06T10:16:00";"2023-03-06T11:27:00";"Encerrada";"Homenagem às Trabalhadoras e Trabalhadores de Serviços Gerais e de Manutenção, que atuaram na Limpeza e Recuperação Predial da Praça dos Três Poderes.";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
