"idEvento";"uriEvento";"tituloRequerimento";"uriRequerimento"
"67117";"https://dadosabertos.camara.leg.br/api/v2/eventos/67117";"REQ 144/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348608"
"67128";"https://dadosabertos.camara.leg.br/api/v2/eventos/67128";"REQ 221/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349026"
"67177";"https://dadosabertos.camara.leg.br/api/v2/eventos/67177";"REQ 1/2023 CEXMABRU";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349225"
"67182";"https://dadosabertos.camara.leg.br/api/v2/eventos/67182";"REQ 251/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349246"
"67184";"https://dadosabertos.camara.leg.br/api/v2/eventos/67184";"REQ 206/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348989"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 246/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349199"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 176/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348803"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 195/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348922"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 260/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349322"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 266/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349338"
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"REQ 421/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350103"
"67214";"https://dadosabertos.camara.leg.br/api/v2/eventos/67214";"REQ 9/2023 GTSTN";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350067"
"67214";"https://dadosabertos.camara.leg.br/api/v2/eventos/67214";"REQ 12/2023 GTSTN";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350113"
"67215";"https://dadosabertos.camara.leg.br/api/v2/eventos/67215";"REQ 12/2023 GTSTN";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350113"
"67215";"https://dadosabertos.camara.leg.br/api/v2/eventos/67215";"REQ 9/2023 GTSTN";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2350067"
"67220";"https://dadosabertos.camara.leg.br/api/v2/eventos/67220";"REQ 125/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348343"
"67221";"https://dadosabertos.camara.leg.br/api/v2/eventos/67221";"REQ 305/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349513"
"67221";"https://dadosabertos.camara.leg.br/api/v2/eventos/67221";"REQ 253/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349292"
"67222";"https://dadosabertos.camara.leg.br/api/v2/eventos/67222";"REQ 134/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348376"
"67222";"https://dadosabertos.camara.leg.br/api/v2/eventos/67222";"REQ 103/2023";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348258"
