"ano";"idLicitacao";"numItem";"numSubitem";"descricao";"especificacao";"unidade";"qtdLicitada";"vlrUnitarioEstimado";"qtdContratada";"vlrUnitarioContratado";"vlrTotalContratado";"fornecedorCpfCnpj";"fornecedorNome";"uriContrato";"numContrato";"anoContrato";"tipoContrato";"situacaoItem";"observacoes";"naturezaDespesa";"programaTrabalho";"codPTRES"
"2023";"18685";"1";"1";"GRADE DE CONTENÇÃO";"GRADE DE CONTENÇÃO // APLICAÇÃO: isolamento e contenção de público na área do Congresso Nacional.    MATERIAL(IS): aço carbono galvanizado a fogo (ABNT NBR 6323).  CARACTERÍSTICA(S): grade de contenção confeccionada em aço com moldura externa em tubo de 1.1/2 polegadas (admitindo-se dimensão mínima de 1.1/4 polegadas), base perpendicular à linha da grade de contenção com 44cm de largura (admitindo-se o mínimo de 40cm), distância entre as barras das grade internas de 16cm (admitindo-se distância máxima de 18cm), barras das grades internas confeccionadas em tubo de, no mínimo, 5/16 polegadas. As grades deverão possuir sistema de encaixe que permita serem conectadas umas nas outras, bem como serem fixadas ao solo com estaca(s) e escoradas ao solo, com uma distância de, no mínimo, 0,44cm da base mais próxima, pelo lado oposto ao público (área interna do isolamento), com uma haste de ferro ou aço, conforme representação gráfica no anexo ""Representação Gráfica das Grades de Proteção"".  MEDIDA(S): 2,00 x 1,20 metros (comprimento x altura), admitindo-se uma variação de 10% para menos e 25% para mais.  ACESSÓRIO(S): placa de metal com identificação da Câmara dos Deputados fixada por meio de solda em cada uma das grades.  GARANTIA MÍNIMA: 5 anos contra corrosão do material.";"METRO";"2300";"334";"2300";"154";"355994";"41.928.671/0001-02";"DESDOBRA INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA-";"";"44";"2023";"Contrato";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167437"
"2023";"18685";"1";"2";"BARRA PARA ESCORAMENTO DE GRADES";"BARRA PARA ESCORAMENTO DE GRADES // APLICAÇÃO: escoramento das grades de contenção (item 1.1), conforme representação gráfica anexa ao autos.  CARACTERÍSTICA(S): barra de ferro ou aço tubular de no mínimo 1.1/4 polegadas e possuir na parte de fixação ao solo um furo para estaca/pino.   MATERIAL(IS): barra de ferro ou aço galvanizado a fogo (ABNT BR 6323).  GARANTIA MÍNIMA: 5 anos contra corrosão do material.";"UNIDADE";"230";"100";"230";"78";"18048";"41.928.671/0001-02";"DESDOBRA INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA-";"";"44";"2023";"Contrato";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167437"
"2023";"18685";"1";"3";"TENDA IMPERMEÁVEL";"TENDA IMPERMEÁVEL // APLICAÇÃO: para guarda e proteção de grades de contenção.  CARACTERÍSTICA(S): tenda piramidal com estrutura metálica fabricada em ferro ou aço tubular de, no mínimo, 14mm e 3"", com partes soldadas em sistema mig, galvanização de alta resistência e com partes unidas por encaixe e fixadas por parafusos e conexões em aço. Pés de sustentação, sendo uma estrutura de ferro tubular (3”) com altura de no mínimo 2,5 metros. Ancorados com cordas de Nylon de ¾, com amarras especiais, fixadas em estacas de ferro enterradas ao solo. Lonas de cobertura e lonas laterais fabricadas em laminado de PVC com reforço de fibra de tecido de poliéster impermeável e com blackout solar, tratamento antichama e de alta resistência ao calor, sem costuras mecânicas e com emendas vulcanizadas a quente. Sistema de calha de aço para escoamento da água.  MEDIDA(S): 8m x 8m.  COR(ES): lona na cor branca.   ACESSÓRIO(S): sacos para armazenamento das lonas e da estrutura metálica.  GARANTIA MÍNIMA: 1 ano contra defeitos de fabricação.";"UNIDADE";"3";"8737";"3";"2216";"6649";"41.928.671/0001-02";"DESDOBRA INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA-";"";"44";"2023";"Contrato";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167437"
"2023";"18793";"1";"1";"SUPORTE TÉCNICO SOB DEMANDA PARA A PLATAFORMA OTRS";"SUPORTE TÉCNICO PARA A PLATAFORMA OTRS // DESCRIÇÃO: Prestação de serviços de suporte técnico para a plataforma OTRS, por instância de produção, pagos por preço fixo mensal em função do cumprimento de metas de nível de serviço, com compromisso de demanda mínima de 1 (uma) instância, durante 24 (vinte e quatro) meses.";"INSTÂNCIA";"48";"14663";"";"";"";"";"";"";"";"";"";"Ativo";"";"";"";""
"2023";"18793";"1";"2";"ADMINISTRAÇÃO E DESENVOLVIMENTO DE SOFTWARE SOB DEMANDA PARA A PLATAFORMA OTRS";"ADMINISTRAÇÃO E DESENVOLVIMENTO DE SOFTWARE PARA A PLATAFORMA OTRS // DESCRIÇÃO: Prestação de serviços de administração e desenvolvimento de software para a plataforma OTRS, com base em um catálogo de atividades, pagos mensalmente em função do número de UST consumidas, sem compromisso de demanda mínima, durante 24 (vinte e quatro) meses. Unidade: UST";"SERVIÇO";"15241";"59";"";"";"";"";"";"";"";"";"";"Ativo";"";"";"";""
"2023";"18889";"1";"";"VENTILADOR DE PAREDE";"VENTILADOR DE PAREDE // MARCA(S)/MODELO(S) DE REFERÊNCIA:  QUALITAS/Q600P; VENTISOL/NEW 60CM; SOLASTER/ ACAPULCO PLUS.  CARACTERÍSTICA(S): 
- para fixação na parede; 
- oscilante;
- com regulagem de inclinação;
- com controlador de velocidade incluso;
- hélice de três pás, pelo menos;
- com grade metálica;
- vazão de 0,9 m³/h ou superior;
- potência elétrica de, no mínimo, 100W.  MEDIDA(S):  grade com diâmetro de aproximadamente 60 cm.  COR(ES):  preta, preferencialmente.  TENSÃO/FREQUÊNCIA:  220 VAC/60 Hz, direta (sem uso de transformador), com tomada compatível com normas brasileiras.  GARANTIA MÍNIMA:  12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO:  embalagem original de fábrica, com identificação e quantidade do material.  OBSERVAÇÃO(ÕES): Atender à faixa ""A"" de eficiência energética da Etiqueta Nacional de Conservação de Energia (ENCE).";"UNIDADE";"18";"347";"18";"189";"3412";"33.671.275/0001-06";"LICICOM COMÉRCIO E SERVIÇOS LTDA-";"";"";"";"";"Ativo";"";"MATERIAL PERMANENTE";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18889";"2";"";"VENTILADOR DE ALTA VAZÃO PARA PAREDE";"VENTILADOR DE PAREDE // MARCA(S)/MODELO(S) DE REFERÊNCIA: Qualitas, modelo VAQ14M4.  CARACTERÍSTICA(S): - para fixação na parede; 
- Ruído máximo de 75 dBA
- Corpo metálico;
- hélice metálica (3 ou mais pás);
- com grade de proteção metálica;
- vazão de 4000 m3/h ou superior;
- potência 150 Watts ou superior (1/4 HP).  MEDIDA(S): diâmetro entre 47 e 57 cm.  COR(ES): Cor preta ou cinza.  TENSÃO/FREQUÊNCIA: 220 VAC/60 Hz, direta (sem uso de transformador), com tomada compatível com normas brasileiras.  GARANTIA MÍNIMA: 12 (doze) meses, contados da data do recebimento definitivo.  ACONDICIONAMENTO: embalagem original de fábrica, com identificação e quantidade do material.  OBSERVAÇÃO(ÕES): atender à faixa ""A"" de eficiência energética da Etiqueta Nacional de Conservação de Energia (ENCE) se tal aspecto do equipamento encontrar-se regulamentado pelo Inmetro à época da proposta de preços da licitante. Admitem-se, caso não exista um mínimo de três fornecedores com modelos compatíveis com o especificado etiquetados com a ENCE classe ""A"", produtos etiquetados com as ENCEs nas duas classes mais eficientes que possuam um mínimo de três fornecedores com modelos etiquetados, admitida a complementação de números de fornecedores de uma classe com a de outra (cfe. “Guia Nacional de Contratação Sustentáveis” da AGU, 4ªEdição).";"UNIDADE";"6";"4681";"6";"3333";"19999";"47.457.244/0001-61";"ADRIANA MARY FERREIRA BARBOSA";"";"";"";"";"Ativo";"";"MATERIAL PERMANENTE";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18912";"1";"";"SUBSCRIÇÃO DE NORMAS TÉCNICAS BRASILEIRAS E DO MERCOSUL";"SUBSCRIÇÃO DE NORMA TÉCNICA // DESCRIÇÃO: base de dados de acesso às Normas Técnicas Brasileiras (NBR) e Mercosul (AMN), acesso ilimitado via IP ou mediante LOGIN e SENHA, com permissão para visualização, impressão e gerenciamento da coleção atualizável pelo período de 24 (vinte e quatro) meses.";"ASSINATURA";"1";"14050";"";"";"";"";"";"";"";"";"";"Ativo";"";"";"";""
"2023";"18966";"1";"1";"DISPOSITIVO DE CAPTURA DE SINAIS DE REDES SEM FIO";"ANALISADOR DE ESPECTRO DE REDE SEM FIO // MARCA(S) DE REFERÊNCIA: EKAHAU SIDEKICK  CARACTERÍSTICA(S): Realizar a medição e captura de sinais de RF para operação de software de análise e diagnóstico de redes sem fio, conforme requisitos deste item, incluindo as funções de análise, survey e captura de pacotes wifi, além de análise de espectro de sinais de RF.  PESO: Ser portátil e não exceder 1,5 kg  APLICAÇÃO: Para uso conectado a notebook e dispositivos Android e Apple IOS, com todos os cabos necessários para o pleno uso das funcionalidades previstas.
Operar com sistemas Windows, Apple iOS e macOS. 
Operar nas faixas WiFi de 2.4GHz e 5GHz (dual-band). 
Possuir, no mínimo, dois rádios WiFi internos dual-band (2.4GHz e 5GHz).
Possuir as antenas WiFi integradas (internas).
Permitir a avaliação de redes WiFi dos tipos 802.11 a/b/g/n/ac/ax.
Operar como dispositivo para a funcionalidade de Analisador de Espectro.  GARANTIA MÍNIMA: 12 (doze) meses, a contar da data da aceitação definitiva.    ACONDICIONAMENTO: Embalagem original de fábrica, com identificação e quantidade do material.";"UNIDADE";"1";"47029";"1";"42590";"42590";"20.061.633/0001-17";"L3 SOFTWARE LTDA-";"";"";"";"";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
"2023";"18966";"1";"2";"SOFTWARE DE ANÁLISE E DIAGNÓSTICO DE REDES SEM FIO";"SOFTWARE DE ANÁLISE E DIAGNÓSTICO DE REDES SEM FIO // MARCA(S) DE REFERÊNCIA: EKAHAU PRO   CARACTERÍSTICA(S): O software deverá possuir recursos de planejamento de redes sem fio, incluindo: Posicionamento automático de APs. Detecção automática de paredes a partir de plantas CAD. Simulação da capacidade e da cobertura da rede sem fio.
O software deverá possuir recursos para Site Survey, incluindo: Realizar Site Survey ativo e passivo, seja em separado ou simultâneo. Realizar Site Survey de capacidade de transmissão (throughput) via iPerf. Realizar survey em ambiente externo (outdoor) com GPS.
O software deverá possuir recursos para Análise de Rede WiFi e prover as seguintes informações:SNR – signal to noise ratio. Ruído/Interferência. Interferência de canal. Taxa de dados. Roaming. RTT – round trip time. Perda de pacotes. Qualidade (health) da rede. Potência e utilização do canal. Localização de pontos de acesso.
O software deverá possuir recursos para Apoio à Solução de Problemas: Identificar problemas de cobertura e de interferência. Identificar falhas em equipamento Wi-Fi. Identificar problemas de roaming. Identificar problemas de capacidade. Identificar problemas em aplicações VoIP e vídeo. Exibir informações dos APs e dos canais existentes no local sob análise. Analisar dados coletados em mapas de calor (heat-maps) para visualização do desempenho da rede sem fio. Gerar relatórios pré-definidos e com possibilidade de customização.
Suportar os padrões 802.11a/b/g/n/ac/ax.  GARANTIA MÍNIMA: 12 MESES, A CONTAR DA ACEITAÇÃO DEFINITIVA.";"LICENÇA";"1";"45100";"1";"40000";"40000";"20.061.633/0001-17";"L3 SOFTWARE LTDA-";"";"";"";"";"Ativo";"";"";"PO 0001-ADMINISTRAÇÃO LEGISLATIVA-PROC. LEG., FISC. E REP. POLÍTICA";"167433"
