"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano";"proposicao_titulo"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2345502";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345502";"Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência da Mensagem nº 14, de 2023.";"392";"REQ";"1";"2023";"REQ 1/2023"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2345504";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345504";"Parecer Preliminar";"891";"PRLP";"1";"";"PRLP 1 => MSC 14/2023"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"192";"PPP";"1";"";"PPP 1 CCJC => MSC 14/2023"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2345506";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345506";"Requer-se, nos termos do art. 186, II, do Regimento Interno desta Casa, VOTAÇÃO NOMINAL para a proposição MENSAGEM 14/2023, em seu mérito.";"332";"RPD";"1";"";"RPD 1 => MSC 14/2023"
"2345501-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28";"2023-01-09";"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).";"2345507";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345507";"Requer votação nominal do Decreto 11377/2023 de 08 de janeiro de 2023, que  Decreta intervenção federal no Distrito Federal com o objetivo de pôr termo ao grave comprometimento da ordem pública, nos termos em que especifica.";"332";"RPD";"2";"";"RPD 2 => MSC 14/2023"
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"Rejeitado o Requerimento.";"2345502";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345502";"Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência da Mensagem nº 14, de 2023.";"392";"REQ";"1";"2023";"REQ 1/2023"
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"Rejeitado o Requerimento.";"2345504";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345504";"Parecer Preliminar";"891";"PRLP";"1";"";"PRLP 1 => MSC 14/2023"
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"Rejeitado o Requerimento.";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"192";"PPP";"1";"";"PPP 1 CCJC => MSC 14/2023"
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"Rejeitado o Requerimento.";"2345506";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345506";"Requer-se, nos termos do art. 186, II, do Regimento Interno desta Casa, VOTAÇÃO NOMINAL para a proposição MENSAGEM 14/2023, em seu mérito.";"332";"RPD";"1";"";"RPD 1 => MSC 14/2023"
"2345501-25";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25";"2023-01-09";"Rejeitado o Requerimento.";"2345507";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345507";"Requer votação nominal do Decreto 11377/2023 de 08 de janeiro de 2023, que  Decreta intervenção federal no Distrito Federal com o objetivo de pôr termo ao grave comprometimento da ordem pública, nos termos em que especifica.";"332";"RPD";"2";"";"RPD 2 => MSC 14/2023"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2345502";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345502";"Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência da Mensagem nº 14, de 2023.";"392";"REQ";"1";"2023";"REQ 1/2023"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2345504";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345504";"Parecer Preliminar";"891";"PRLP";"1";"";"PRLP 1 => MSC 14/2023"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2345505";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345505";"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Junior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa e, no mérito, pela aprovação do Decreto nº 11.377, de 08 de janeiro de 2023, encaminhado por meio da Mensagem nº 14, de 2023.";"192";"PPP";"1";"";"PPP 1 CCJC => MSC 14/2023"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2345506";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345506";"Requer-se, nos termos do art. 186, II, do Regimento Interno desta Casa, VOTAÇÃO NOMINAL para a proposição MENSAGEM 14/2023, em seu mérito.";"332";"RPD";"1";"";"RPD 1 => MSC 14/2023"
"2345501-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26";"2023-01-09";"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2345507";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345507";"Requer votação nominal do Decreto 11377/2023 de 08 de janeiro de 2023, que  Decreta intervenção federal no Distrito Federal com o objetivo de pôr termo ao grave comprometimento da ordem pública, nos termos em que especifica.";"332";"RPD";"2";"";"RPD 2 => MSC 14/2023"
"2345502-6";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2345502-6";"2023-01-09";"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).";"2345502";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345502";"Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência da Mensagem nº 14, de 2023.";"392";"REQ";"1";"2023";"REQ 1/2023"
"110085-159";"https://dadosabertos.camara.leg.br/api/v2/votacoes/110085-159";"2023-01-31";"PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 145/1993: REJEIÇÃO DO PARECER DO RELATOR, DEP RICARDO FIUZA.
APROVAÇÃO DO PARECER DO DEP INALDO LEITÃO, DESIGNADO RELATOR DO VENCEDOR, PELA CONSTITUCIONALIDADE, JURIDICIDADE, TECNICA LEGISLATIVA E, NO MERITO, PELA REJEIÇÃO, CONTRA O VOTO EM SEPARADO DO DEP RICARDO FIUZA.";"345415";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/345415";"";"187";"PAR";"1";"";"PAR 1 CCJC => PRC 174/1998"
"2348205-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-21";"2023-02-08";"Aprovada a Redação Final assinada pelo Relator, Dep. Hugo Motta (REPUBLIC-PB).";"2348210";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348210";"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Substitutivo apresentado.";"192";"PPP";"1";"";"PPP 1 CCJC => PRC 15/2023"
"2348205-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-21";"2023-02-08";"Aprovada a Redação Final assinada pelo Relator, Dep. Hugo Motta (REPUBLIC-PB).";"2348211";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348211";"Destaque para Votação em Separado - PRC 15/2023";"846";"DTQ";"1";"";"DTQ 1 => PRC 15/2023"
"2348205-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-21";"2023-02-08";"Aprovada a Redação Final assinada pelo Relator, Dep. Hugo Motta (REPUBLIC-PB).";"2348221";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348221";"Altera os arts. 17, 26, 32, 34 e 191 do Regimento Interno da Câmara dos Deputados, aprovado pela Resolução nº 17, de 21 de setembro de 1989, para compatibilizar o primeiro dispositivo com o art. 105, criar e redenominar as Comissões Permanentes que especifica, excluir a ressalva de votação de emendas de substitutivo aprovado, e dá outras providências.";"891";"PRLP";"1";"";"PRLP 1 => PRC 15/2023"
